編號,案類,發生(現)日期,發生時段,發生(現)地點,lat,long
138,住宅竊盜,1040316,07~09,台北市中正區螢雪里水源路151~180號,25.0236222,121.51609280000002
139,住宅竊盜,1040317,01~03,台北市北投區榮華里17鄰明德路118巷1~30號,25.1099085,121.52040880000004
140,住宅竊盜,1040317,10~12,台北市南港區萬福里同德路50巷1~30號,25.0451054,121.58416030000001
141,住宅竊盜,1040319,10~12,台北市文山區萬和里溪洲街61~90號,25.005707,121.53458649999993
142,住宅竊盜,1040319,22~24,台北市北投區永和里同德街44巷1~30號,25.1254108,121.52915110000004
143,住宅竊盜,1040320,10~12,台北市萬華區糖?里大理街160巷26弄1~30號,25.032055,121.49387139999999
144,住宅竊盜,1040320,19~21,台北市萬華區漢口街二段61~90號,25.0459291,121.5057567
145,住宅竊盜,1040324,07~09,台北市松山區民權東路三段153巷3弄1~30號,25.0626113,121.54674160000002
146,住宅竊盜,1040325,13~15,台北市大安區龍門里10鄰和平東路二段18巷13弄1~30號,25.0259772,121.53686700000003
147,住宅竊盜,1040326,16~18,台北市文山區興福里1鄰興隆路一段260巷1~30號,24.9983649,121.54521599999998
148,住宅竊盜,1040327,16~18,台北市文山區萬隆里羅斯福路五段241~270號,25.001689,121.539583
149,住宅竊盜,1040327,19~21,台北市信義區黎平里和平東路三段207巷6弄1~30號,25.024053,121.55352199999993
150,住宅竊盜,1040328,19~21,台北市中山區天祥路60巷1~30號,25.0605813,121.52109280000002
151,住宅竊盜,1040329,07~09,台北市松山區南京東路五段31~60號,25.0517805,121.55840539999997
152,住宅竊盜,1040329,10~12,台北市士林區社園里021鄰社中街298巷4弄1~30號,25.0924659,121.50700069999994
153,住宅竊盜,1040329,16~18,台北市松山區民生東路三段113巷25弄31~60號,25.0593897,121.54714509999997
154,住宅竊盜,1040330,07~09,台北市中山區松江路331~360號,25.0618075,121.53292349999992
155,住宅竊盜,1040330,10~12,台北市士林區平等里平菁街105巷1~30號,25.128299,121.57612799999993
156,住宅竊盜,1040330,10~12,台北市文山區萬利街2巷1~30號,24.999615,121.56701799999996
157,住宅竊盜,1040331,07~09,台北市內湖區金瑞里金龍路1~30號,25.0870264,121.58837029999995
158,住宅竊盜,1040331,22~24,台北市萬華區萬大路493巷28弄1~30號,25.019636,121.49879699999997
159,住宅竊盜,1040401,13~15,台北市士林區天壽里5鄰天母西路22巷1~30號,25.1183268,121.52648920000001
160,住宅竊盜,1040401,22~24,台北市中山區長春路241~270號,25.054835,121.5392812
161,住宅竊盜,1040404,13~15,台北市文山區木新里指南路一段31~60號,24.9877709,121.56977899999993
162,住宅竊盜,1040405,10~12,台北市文山區指南里指南路三段22巷1~30號,24.9833249,121.57879000000003
163,住宅竊盜,1040405,19~21,台北市松山區光復北路31~60號,25.0499163,121.55801900000006
164,住宅竊盜,1040405,22~24,台北市大同區南芳里延平北路二段241~270號,25.0620649,121.511392
165,住宅竊盜,1040405,22~24,台北市內湖區港富里麗山街328巷1~30號,25.0829643,121.57323889999998
166,住宅竊盜,1040407,01~03,台北市萬華區雅江街31~60號,25.042908,121.50154399999997
167,住宅竊盜,1040407,10~12,台北市中山區大直街84巷1~30號,25.080345,121.54696899999999
168,住宅竊盜,1040407,10~12,台北市內湖區紫陽里文德路22巷59弄1~30號,25.0785252,121.58046149999996
169,住宅竊盜,1040408,10~12,台北市中正區螢雪里重慶南路三段74巷1~30號,25.026573,121.51540799999998
170,住宅竊盜,1040408,16~18,台北市內湖區寶湖里成功路二段301~330號,25.0694351,121.59082820000003
171,住宅竊盜,1040409,10~12,台北市中山區農安街1~30號,25.0649794,121.52919180000004
