編號,案類,發生(現)日期,發生時段,發生(現)地點,lat,long
154,自行車竊盜,1040604,13~15,台北市信義區廣居里忠孝東路五段451-480號,25.040586,121.577617
155,自行車竊盜,1040604,22~24,台北市中正區幸福里忠孝東路一段84巷,25.0439604,121.5240873
156,自行車竊盜,1040605,04~06,台北市大安區光明里杭州南路二段9巷1-30號,25.0347679,121.5241816
157,自行車竊盜,1040606,01~03,台北市大安區錦安里7鄰金山南路二段185巷1-30號,25.028457,121.526634
158,自行車竊盜,1040607,10~12,台北市北投區關渡里知行路301-330號,25.1220973,121.4671994
159,自行車竊盜,1040609,01~03,台北市士林區社園里延平北路六段151-180號,25.0895712,121.5060539
160,自行車竊盜,1040609,04~06,台北市內湖區康樂街136巷29弄31-60號,25.072837,121.617992
161,自行車竊盜,1040609,16~18,台北市信義區松智路與松廉路口,25.034667,121.565559
162,自行車竊盜,1040609,19~21,台北市文山區明義里木柵路二段31-60號,24.988851,121.559671
163,自行車竊盜,1040610,01~03,台北市北投區福興里自強街31巷31-60號,25.1112364,121.5124629
164,自行車竊盜,1040610,01~03,台北市北投區福興里自強街31巷31-60號,25.1112364,121.5124629
165,自行車竊盜,1040613,04~06,台北市松山區南京東路五段291巷47弄,25.0536485,121.5669249
166,自行車竊盜,1040613,10~12,台北市中山區新生北路三段31-60號,25.0646869,121.5280576
167,自行車竊盜,1040613,13~15,台北市北投區榮華里東華街一段48巷1-30號,25.1080486,121.5203401
168,自行車竊盜,1040613,16~18,台北市中正區東門里信義路一段1-30號,25.0382335,121.5192914
169,自行車竊盜,1040613,22~24,台北市南港區九如里研究院路二段211-240號,25.036402,121.6174355
170,自行車竊盜,1040614,22~24,台北市文山區景東里景華街82巷1-30號,24.9950752,121.5453899
171,自行車竊盜,1040615,16~18,台北市大安區敦安里6鄰仁愛路四段121-150號,25.0376643,121.5499264
172,自行車竊盜,1040616,22~24,台北市大安區龍泉里師大路1-30號,25.026164,121.5285658
173,自行車竊盜,1040619,04~06,台北市中山區松江路301-330號,25.0611915,121.5334002
174,自行車竊盜,1040619,04~06,台北市內湖區民權東路六段296巷31-60號,25.0671158,121.5790779
175,自行車竊盜,1040622,07~09,台北市南港區合成里忠孝東路六段1-30號,25.045578,121.582655
176,自行車竊盜,1040623,07~09,台北市南港區合成里昆陽捷運站旁停車場,25.0505117,121.5932518
177,自行車竊盜,1040623,07~09,台北市大安區和平東路三段181-210號,25.0232043,121.5536534
178,自行車竊盜,1040623,07~09,台北市南港區昆陽捷運站腳踏車停車場,25.0505117,121.5932518
179,自行車竊盜,1040625,04~06,台北市信義區興雅里永吉路30巷121-150號,25.042688,121.568629
180,自行車竊盜,1040625,13~15,台北市信義區興雅里松高路1-30號,25.0396333,121.5642112
181,自行車竊盜,1040629,19~21,台北市北投區吉利里西安街一段,25.1111719,121.5175293
182,自行車竊盜,1040630,13~15,台北市大同區玉泉里鄭州路121-150號,25.050352,121.510919
183,自行車竊盜,1040701,19~21,台北市松山區南京東路五段三民路捷運三民南京站,25.0514855,121.5632617
184,自行車竊盜,1040701,22~24,台北市中正區文盛里羅斯福路四段1-30號,25.0154208,121.5333586
185,自行車竊盜,1040702,19~21,台北市文山區樟文里辛亥路七段69巷1-30號,24.9823677,121.5547905
186,自行車竊盜,1040702,19~21,台北市中正區三愛里信義路二段241-270號,25.0336978,121.5311351
187,自行車竊盜,1040703,19~21,台北市信義區興雅里忠孝東路五段1-30號,25.041234,121.5652442
188,自行車竊盜,1040704,13~15,台北市中山區天祥路1-30號,25.0605813,121.5210928
189,自行車竊盜,1040705,10~12,台北市大安區學府里羅斯福路四段1-30號,25.0169587,121.5338507
190,自行車竊盜,1040705,16~18,台北市信義區永春里忠孝東路五段後山埤捷運站,25.045054,121.582522
191,自行車竊盜,1040706,13~15,台北市中山區中山北路二段91-120號,25.059308,121.523262
192,自行車竊盜,1040707,13~15,台北市大安區新龍里建國南路二段121-150號,25.029612,121.53832
193,自行車竊盜,1040707,16~18,台北市萬華區中華路二段504巷1-30號,25.025723,121.507797
194,自行車竊盜,1040708,10~12,台北市文山區萬隆里萬隆街61-90號,25.0004769,121.5366
195,自行車竊盜,1040712,13~15,台北市北投區文林里文林北路241-270號,25.1094138,121.5130393
196,自行車竊盜,1040712,19~21,台北市北投區文林里文林北路241-270號,25.1094138,121.5130393
197,自行車竊盜,1040713,10~12,台北市松山區新東街60巷1-30號,25.0620789,121.5652586
198,自行車竊盜,1040714,10~12,台北市北投區中央里大興街24巷6弄1-30號,25.1291009,121.4987076
199,自行車竊盜,1040714,19~21,台北市中山區劍南路捷運站,25.084853,121.555592
200,自行車竊盜,1040714,22~24,台北市北投區石牌里自強街120巷15弄口,25.1104383,121.5164841
201,自行車竊盜,1040715,16~18,台北市大同區國慶里民族西路252(大同公園）巷,25.0679293,121.5122563
